SampleID,Chicken,Cow,Duck,Goat,Goose,Horse,Human,Pig,Sheep,Unknown,STORET#,Site,Month,Path
1703029_001,0.4,0.91,0.27,0,0.4,0,0,0,0,98.02,308411,Jimtown Rd,March,1
1703029_002,0.51,2.82,0,0,2.91,0,7.7,7.00E-02,0,85.99,308371,Bundicks,March,2
1703029_003,1.57,5.27,0,0,3.64,0,18.37,3.45,0,67.7,308291,Goslee Pond,March,3
1703029_004,1.00E-02,0,2.33,4.44,8.76,9.56,1.00E-02,0,2.15,72.74,308015,Mouth,March,7
1703029_005,0,0,3.25,4.15,8.21,9.53,0,0,2.35,72.51,308018,West Lane,March,6
1703029_006,0,0.97,1.15,0,4.99,11.8,4.24,0,0.13,76.72,308021,Rt 24 Marina,March,5
1703029_007,0.75,6.53,2.00E-02,0,4.83,5.35,11.16,3.59,0,67.77,308024,Misty Lane,March,4
1704019_001,2.00E-02,0,0.17,0,0,0,0,0.47,0,99.34,308411,Jimtown Rd,April,1
1704019_002,1.49,5.42,0,0,3.00E-02,0,13,1.15,0,78.91,308371,Bundicks,April,2
1704019_003,0.1,10.94,0,0,0,0,5.54,1.13,0,82.29,308291,Goslee Pond,April,3
1704019_004,0,2.97,0,29.48,7.46,0,0.15,3.00E-02,6.33,53.58,308015,Mouth,April,7
1704019_005,3.84,0.11,0,17.45,5.85,5.88,3.44,0,6.97,56.46,308018,West Lane,April,6
1704019_006,1.91,10.92,0,0.19,4.73,21.18,10.92,5.32,0.76,44.07,308021,Rt 24 Marina,April,5
1704019_007,0.23,7.74,0,1.06,5.14,27.77,11.6,2.4,2.85,41.21,308024,Misty Lane,April,4
1705016_001,1.00E-02,0,1.00E-02,0,0,2.00E-02,0,1.18,0,98.78,308411,Jimtown Rd,May,1
1705016_002,2.21,2.89,0,0,0,0,18.09,1.69,0,75.12,308371,Bundicks,May,2
1705016_003,2.96,9.96,0,0,0,1.18,15.33,2.26,0,68.31,308291,Goslee Pond,May,3
1705016_004,0,3.83,0,12.63,12.67,0,0,0,16.56,54.31,308015,Mouth,May,7
1705016_005,0,2.96,0,12.38,15.02,1.66,1.17,8.00E-02,15.01,51.72,308018,West Lane,May,6
1705016_006,0,9.67,0,2.02,7.2,11.01,0,11.97,7.72,50.41,308021,Rt 24 Marina,May,5
1705016_007,2.86,13.9,2.00E-02,1.00E-02,1.85,12.66,0,10.58,4.08,54.04,308024,Misty Lane,May,4
1706014_001,0,0,0,0,0,0,0,0,1.00E-02,99.99,308411,Jimtown Rd,June,1
1706014_002,2.83,3.31,0,0,0,0,16.74,9.26,0,67.86,308371,Bundicks,June,2
1706014_003,0,17.92,0,0,0,8.73,1.47,2.29,0,69.59,308291,Goslee Pond,June,3
1706014_004,0.15,9.67,0,14.76,10.61,0,6.09,0,14.67,44.05,308015,Mouth,June,7
1706014_005,3.45,12.7,0,2.16,6.4,7.81,10.34,3.19,3.65,50.3,308018,West Lane,June,6
1706014_006,0,8.61,0,0.18,5.28,26.24,3.35,5.76,6.00E-02,50.52,308021,Rt 24 Marina,June,5
1706014_007,1.4,40.42,3.00E-02,0,0,21.38,5.00E-02,2.22,0,34.5,308024,Misty Lane,June,4
1706031_001,2.15,9.07,0,5.61,7.7,0.9,6.00E-02,4.43,8.74,61.34,308015,Mouth,June Rain,7
1706031_002,0,2.55,9.00E-02,9.91,4.37,0.37,0.18,22.75,8.19,51.59,308018,West Lane,June Rain,6
1706031_003,0.64,11.91,0,2.5,0.15,13.72,0,12.72,5.3,53.06,308021,Rt 24 Marina,June Rain,5
1706031_004,7.38,9.11,0,0,0,33.83,0,2.69,5.36,41.63,308024,Misty Lane,June Rain,4
